"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"We still have select styles and sizes available while we clear our inventory. Some shirts are as low as 11-bucks. N… https://t.co/jfMw91qIXK",FALSE,0,NA,2019-04-14 20:02:31,TRUE,NA,"1117518517291692038",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","VintageOklahoma",0,FALSE,FALSE,NA,NA
"RT @MattJ_Sports: I'm back @Sportsnaut and wrote about the recent rise in extensions for young players and how they ultimately do more harm…",FALSE,0,NA,2019-04-14 20:02:30,FALSE,NA,"1117518513764171776",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","shanemink",3,TRUE,FALSE,NA,NA
"⚾  🏈  Baseball - Football Sports #Cards - Invest In Fun -&gt;&gt;&gt;    https://t.co/y5l9dldB4x    &lt;&lt;&lt;- #Collecting… https://t.co/4J0Fq3MuA0",FALSE,0,NA,2019-04-14 20:01:55,TRUE,NA,"1117518367622037505",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","BarneyFile",0,FALSE,FALSE,NA,NA
"Game day! #Southwestinvestigationtour2019 #roadtrip #phoenix #arizona #baseball https://t.co/Y1nQatUThg",FALSE,0,NA,2019-04-14 20:01:39,FALSE,NA,"1117518296499273728",NA,"<a href=\"https://buffer.com\" rel=\"nofollow\">Buffer</a>","bocosluicebox1",0,FALSE,FALSE,NA,NA
"@BusterPosey  My son saved up his bday money for your inspirered bat. Thank you for making a 14 yr old smile and ex… https://t.co/UhCVuJw2ia",FALSE,0,"BusterPosey",2019-04-14 20:01:36,TRUE,NA,"1117518285568991234","467520901","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ADonald78",0,FALSE,FALSE,NA,NA
"This is as tuned into a #baseball game as I've been so far this season. It's stressful af.",FALSE,0,NA,2019-04-14 20:01:30,FALSE,NA,"1117518259945988096",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","mrswifey",0,FALSE,FALSE,NA,NA
"RT @MattJ_Sports: I'm back @Sportsnaut and wrote about the recent rise in extensions for young players and how they ultimately do more harm…",FALSE,0,NA,2019-04-14 20:01:28,FALSE,NA,"1117518252362518529",NA,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","JesseReed78",3,TRUE,FALSE,NA,NA
"RT @MattJ_Sports: I'm back @Sportsnaut and wrote about the recent rise in extensions for young players and how they ultimately do more harm…",FALSE,0,NA,2019-04-14 20:00:56,FALSE,NA,"1117518116253093888",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","MattJ_Sports",3,TRUE,FALSE,NA,NA
"This book chronicles the life of Bill Seinsoth, whose death while en route to watch his friend O.J. Simpson's final… https://t.co/aRuOvuAGgK",FALSE,0,NA,2019-04-14 20:00:18,TRUE,NA,"1117517960241930240",NA,"<a href=\"https://postfity.com\" rel=\"nofollow\">Postfity.com</a>","SunburyPress",0,FALSE,FALSE,NA,NA
"Ready to dig in and hit your #fundraising goals for your #baseball and #softball team this #spring? ⚾️ Get some tip… https://t.co/lS7IUOKgUa",FALSE,0,NA,2019-04-14 20:00:14,TRUE,NA,"1117517939882823680",NA,"<a href=\"https://sproutsocial.com\" rel=\"nofollow\">Sprout Social</a>","LCPizzaKit",0,FALSE,FALSE,NA,NA
"2019 Panini Diamond Kings Fransisco Lindor DK 205 Holo Gold 99/99 and Base Autos
.
.
.
@PaniniAmerica #realbreaks… https://t.co/xRWMXxzwXf",FALSE,0,NA,2019-04-14 20:00:10,TRUE,NA,"1117517924401602560",NA,"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>","RealBreaksLive",0,FALSE,FALSE,NA,NA
"RT @delduduit: I had a blast talking with the Minford High School baseball team about my book - Dugout Devotions- over breakfast. #blessed…",FALSE,0,NA,2019-04-14 19:59:49,FALSE,NA,"1117517836283535360",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","delduduit",2,TRUE,FALSE,NA,NA
"Since there was five inches of snow in Chicago today, do the Cubs get to start the season over?  #Cubs #MLB #BaseBall #newsportsMulligan",FALSE,0,NA,2019-04-14 19:59:04,FALSE,NA,"1117517647904681985",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","NTLAircheck",0,FALSE,FALSE,NA,NA
"Boston Athlete News - Red Sox Xander Bogaerts homers in the top of the 8th bringing in Mookie Betts and J.D. Martin… https://t.co/cxZMeDJJOP",FALSE,0,NA,2019-04-14 19:58:46,TRUE,NA,"1117517573258661889",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","bostonathletema",0,FALSE,FALSE,NA,NA
"@jcostin2020 starting to figure a few things out. #prospect #college #baseball #scs #southsidechristian #tee… https://t.co/UBFwvJc8UX",FALSE,0,"jcostin2020",2019-04-14 19:58:21,TRUE,NA,"1117517468015190019","1079091063657254912","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","KennyLedford21",0,FALSE,FALSE,NA,NA
"⚾  🏈  Baseball - Football Sports #Cards - Invest In Fun -&gt;&gt;&gt;    https://t.co/fwmKdj7wNG    &lt;&lt;&lt;- #Collecting… https://t.co/qQmFp4aAf2",FALSE,0,NA,2019-04-14 19:58:01,TRUE,NA,"1117517383151882241",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MaxSteene",0,FALSE,FALSE,NA,NA
"Talking Baseball, Broadcasting, and “Brockmire” with Hank Azaria   (I hate baseball, but I love \"Brockmire\").… https://t.co/qXDeUAAIu7",FALSE,0,NA,2019-04-14 19:57:44,TRUE,NA,"1117517310867099649",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","StevePacheco",0,FALSE,FALSE,NA,NA
"Difficult roads often lead to beautiful destinations.  @thejudge44  @yankees  #yankees #baseball #livingthedream https://t.co/CfJsbPsRv4",FALSE,1,NA,2019-04-14 19:56:19,FALSE,NA,"1117516957258002434",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","YoKingjulian",0,FALSE,FALSE,NA,NA
"Home Run Eats: The Best Gluten-Free Food Options at Major League Baseball Stadiums &gt;&gt; https://t.co/02KrhR8Z6F… https://t.co/RducBOWyCn",FALSE,0,NA,2019-04-14 19:56:14,TRUE,NA,"1117516934449438720",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","TheGFRD",0,FALSE,FALSE,NA,NA
"PITCH HUNT! | @MHSRedskins @ManteoBaseball #gallery vs #Edenton uploading @ your favorite site… https://t.co/T512WVHQpN",FALSE,0,NA,2019-04-14 19:56:00,TRUE,NA,"1117516876232495104",NA,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","gotoleftfield",0,FALSE,FALSE,"-75.67417311","35.91622445"
"RT @FinkeWormer: What a way to celebrate your 20th Birthday @tylerfinke #homerun #homer #sneadstatebaseball #Alabama #baseball #HappyBirthd…",FALSE,0,NA,2019-04-14 19:55:52,FALSE,NA,"1117516842384470016",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Midland_Redskin",10,TRUE,FALSE,NA,NA
