"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"I hate Sarri fans more than Liverpool or Manchester City fans. Why? Because I believe they do more harm than good… https://t.co/0vtdDkbIYP","FALSE","0",NA,"2019-03-13 23:44:11","TRUE",NA,"1105977891005685760",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","fercho5","0","FALSE","FALSE",NA,NA
"4 out of 4 Premier League Teams in the Quarterfinals 👏👏👏👏 #championsleague https://t.co/Q6tT3LN2Ml","FALSE","0",NA,"2019-03-13 23:44:02","FALSE",NA,"1105977853051584514",NA,"<a href=\http://instagram.com\ rel=\nofollow\>Instagram</a>","stuart_kirkham","0","FALSE","FALSE",NA,NA
"WATCH #MANCITY VS #SCH04 (7-0) #ChampionsLeague #HIGHLIGHTS WITH THE LINK https://t.co/hko2IpuiQm https://t.co/TPKKxBe0Cs","FALSE","0",NA,"2019-03-13 23:43:19","FALSE",NA,"1105977671949918210",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","FGoalaso","0","FALSE","FALSE",NA,NA
"#ChampionsLeague https://t.co/FXWFpsYBJi,FALSE,0,NA,2019-03-13 23:02:13,FALSE,NA,1105967327126978562,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,alifakovac,1,TRUE,FALSE,NA,NA
Messi IS NOT A REAL PERSON Lyon IM SORRY Barcelona FOUND A ALIEN SMH 🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️ #Messi #ChampionsLeague… https://t.co/njkpmK1yDV,FALSE,11,NA,2019-03-13 23:02:08,TRUE,NA,1105967308378464262,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,Therealbond442,3,FALSE,FALSE,NA,NA
4 English clubs into QF of Champions League must mean we are not leaving ??? #Brexit #NoDealBrexit mybe #LFC winnin… https://t.co/fmQ8Tib1x7,FALSE,0,NA,2019-03-13 23:01:57,TRUE,NA,1105967261427421184,NA,<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>,j_p_ellis,0,FALSE,FALSE,NA,NA
Messi: \What Cristiano and Juve did was awesome and a big surprise. I thought the Atleti was going to be stronger.… https://t.co/nnP3sh9UoC","FALSE","0",NA,"2019-03-13 23:01:46","TRUE",NA,"1105967216477065218",NA,"<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","huthinho1","0","FALSE","FALSE",NA,NA
"Thank you for the amazing support on this 🔥❤️ #LFC #CHAMPIONSLEAGUE https://t.co/hKExxhwP2S","FALSE","5",NA,"2019-03-13 23:01:35","FALSE",NA,"1105967167944753157",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","DanHendo27","0","FALSE","FALSE",NA,NA
"@leom1993 Calling it now Ajax – Liverpool Juventus – Manchester United Man City – Barcelona Tottenham – Porto #ChampionsLeague #UCL","FALSE","0","leom1993","2019-03-13 23:01:24","FALSE","1105950165788229633","1105967123342508033","56198400","<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","blindLloyd","0","FALSE","FALSE",NA,NA
"2 goals and 2 assists 😌💙❤️
Stay calm and trust #FCBarcelona
P.S. don't wonder too much, cuz it was something normal… https://t.co/NBQFUlVPEv","FALSE","1",NA,"2019-03-13 23:01:15","TRUE",NA,"1105967085136560128",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","RaldaLoxa","0","FALSE","FALSE",NA,NA
"What a performance from #LFC totally professional, job done! #FCBLIV 4 english clubs in last 8 of #ChampionsLeague","FALSE","1",NA,"2019-03-13 23:00:59","FALSE",NA,"1105967016144502784",NA,"<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","stats_lad","0","FALSE","FALSE",NA,NA
"@FCBarcelona in the QF, @SpursOfficial in the Semis and then smash @ManUtd in the Final = No 6 #LFC #ChampionsLeague","FALSE","0","FCBarcelona","2019-03-13 23:00:23","FALSE",NA,"1105966865396969473","96951800","<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","James_Paton","0","FALSE","FALSE",NA,NA
"What a performance!! Here is my live reaction of the match!! #lfc #liverpoolfc #bayernvsliverpool #bayern #BAYLIV… https://t.co/zycoRZ8pSB","FALSE","1",NA,"2019-03-13 23:00:16","TRUE",NA,"1105966838431678465",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","Natural_Red_LFC","0","FALSE","FALSE",NA,NA
