headline,snippet,source,type,url,word_count,locations,subjects
b'Trump Ends Deal Between M.L.B. and Cuban Baseball Federation',b'The Trump administration declared that the deal violated trade laws because the Cuban federation was part of the government in Havana.',The New York Times,News,https://www.nytimes.com/2019/04/08/sports/mlb-cuba-donald-trump.html,873,['Cuba'],"['United States International Relations', 'Baseball', 'International Trade and World Market']"
b'Start of the Baseball Season',"b'Zhouqin Burnikel opens our solving ... well, you know.'",The New York Times,News,https://www.nytimes.com/2019/03/25/crosswords/daily-puzzle-2019-03-26.html,357,[],['Crossword Puzzles']
"b'For Jackie Robinson\xe2\x80\x99s Centennial, a Display of Rarely Seen Photographs'",b'An exhibition at the Museum of the City of New York \xe2\x80\x94 including photographs that have never been published before \xe2\x80\x94 shows the pioneering player with his teammates and his family.',The New York Times,News,https://www.nytimes.com/2019/02/05/arts/design/jackie-robinson-rarely-seen-photographs.html,816,[],"['Baseball', 'Museums', 'Blacks', 'Photography']"
b'U.S. Nixes Deal for Major League Baseball to Sign Cuban Players',b'The Trump administration on Monday scrapped a historic agreement between Major League Baseball and the Cuban Baseball Federation  that would have allowed Cuban players to sign with U.S. teams without needing to defect.',Reuters,News,https://www.nytimes.com/reuters/2019/04/08/sports/baseball/08reuters-cuba-usa-baseball.html,795,[],[]
"b'Larry Baer, San Francisco Giants C.E.O., Is Suspended by M.L.B.'","b'Mr. Baer had been on a leave of absence since March 4, days after a video surfaced of him in an altercation with his wife.'",The New York Times,News,https://www.nytimes.com/2019/03/26/sports/larry-baer-video-suspension.html,816,['San Francisco (Calif)'],"['Baseball', 'Domestic Violence']"
b'Baseball Changes Several Rules and Agrees to Start C.B.A. Negotiations',"b'Major League Baseball and the players\xe2\x80\x99 union announced several rule changes that will affect the trading deadline, the All-Star Game, roster size and on-field strategy.'",The New York Times,News,https://www.nytimes.com/2019/03/14/sports/mlb-rule-changes.html,1079,[],"['Baseball', 'Trades (Sports)', 'All Star Games', 'Organized Labor']"
"b'For Baseball and the Country, Jackie Robinson Changed the Game'",b'A longtime New York Times columnist examines the legacy of the baseball great.',The New York Times,News,https://www.nytimes.com/2019/01/31/sports/baseball-jackie-robinson-integration.html,1176,[],"['Blacks', 'Baseball']"
"b'For a Mike Trout, M.L.B. Flaunts Its Wealth. Average Players Reap Austerity.'","b'Baseball is widely seen as a less appealing sport in comparison with the N.F.L. and N.B.A., but its revenues continue to climb at a healthy rate \xe2\x80\x94 outstripping the average gain in salaries.'",The New York Times,News,https://www.nytimes.com/2019/03/20/sports/mike-trout-mlb-salaries.html,1201,[],"['Baseball', 'Wages and Salaries']"
b'Baseball Was My Life. Then I Stopped Being Able to Throw the Ball.',"b'It\xe2\x80\x99s called the yips, and it\xe2\x80\x99s a sudden inability to play. I had to find my way out of it.'",The New York Times,News,https://www.nytimes.com/2019/03/28/style/self-care/baseball-yips.html,1463,[],"['Women and Girls', 'Softball', 'Baseball', 'your-feed-selfcare']"
b'Cuba Announces First List of Baseball Players Who Can Sign With U.S. Teams',"b""Cuba's Baseball Federation announced on Tuesday a first list of players authorized to sign contracts directly with Major League Baseball organizations, moving Cuban-U.S. cooperation in the sport forward despite tense broader bilateral relations.""",Reuters,News,https://www.nytimes.com/reuters/2019/04/02/sports/baseball/02reuters-cuba-usa-baseball.html,338,[],[]
