headline,snippet,source,type,url,word_count,locations,subjects
b'Plans to Reform European Football Run Into Opposition',"b""Plans to reform and possible expand European club competition ran into opposition on Friday as the continent's leagues declared they were 'united' in their determination to protect domestic football.""",Reuters,News,https://www.nytimes.com/reuters/2019/04/05/sports/soccer/05reuters-soccer-europe-leagues.html,459,[],[]
b'Sheikh Salman Retains Place at Helm of Asian Football',"b""Sheikh Salman bin Ebrahim Al Khalifa was re-elected unopposed to the position as president of the Asian Football Confederation on Saturday after the regional body's congress confirmed a new four-year term for the Bahraini by acclamation.""",Reuters,News,https://www.nytimes.com/reuters/2019/04/06/sports/soccer/06reuters-soccer-asia.html,455,[],[]
b'Do More for Football Players With Head Trauma',b'A Johns Hopkins doctor says there is a need to develop treatments for survivors.',The New York Times,Letter,https://www.nytimes.com/2019/01/23/opinion/letters/football-head-trauma.html,213,[],"['Chronic Traumatic Encephalopathy', 'Football']"
"b""Guardiola Tells England's Rose Not to Walk Away From Football""",b'Manchester City manager Pep Guardiola has urged Tottenham Hotspur full back Danny Rose not to let racism win by following through on his plan to walk away from football when his playing career ends.',Reuters,News,https://www.nytimes.com/reuters/2019/04/05/sports/soccer/05reuters-soccer-england-rose.html,241,[],[]
b'Grab and Go: How Sticky Gloves Have Changed Football',"b'What\xe2\x80\x99s with all those one-handed catches? A new generation of silicone gloves is 20 percent stickier than the human hand, making them almost mandatory equipment.'",The New York Times,News,https://www.nytimes.com/2019/01/20/sports/super-bowl-nfl-gloves.html,1510,[],"['Football', 'Gloves']"
b'Brazilian Women Unable to Emulate U.S. Footballers in Equality Battle',"b""Brazil's female footballers have made great strides in growing their domestic game but they lack the organisation to emulate the United States team and demand the same pay and conditions as men, defender Erika told Reuters on Tuesday.""",Reuters,News,https://www.nytimes.com/reuters/2019/04/09/sports/soccer/09reuters-soccer-brazil-women.html,421,[],[]
"b'When Is a Hacker a Whistle-Blower? In Football Leaks Case, a Hungarian Judge Will Decide'","b'For years, the website Football Leaks tormented the elites of world soccer. Now the Portuguese man behind it has been arrested, and his fate could hinge of Hungary\xe2\x80\x99s definition of \xe2\x80\x9cwhistle-blower.\xe2\x80\x9d'",The New York Times,News,https://www.nytimes.com/2019/01/23/sports/soccer/football-leaks-rui-pinto.html,1053,"['Portugal', 'Hungary']","['Soccer', 'Whistle-Blowers', 'Football']"
"b'Ex-Pro Football Player Accused of Murder in Death of Girl, 5'","b""A Las Vegas judge expressed shock Tuesday at the severity of injuries found on a 5-year-old girl whose death led to murder and felony child abuse charges against her 25-year-old mother and the mother's former professional football player boyfriend...""",AP,News,https://www.nytimes.com/aponline/2019/04/16/us/ap-us-ex-nfl-player-murder-charge.html,424,[],[]
b'Thieves Pinch Rifles as Kenyan Police Watch Champions League Football',b'The temptation to watch UEFA Champions League quarter-finals football on TV both featuring Lionel Messi and Cristiano Ronaldo backfired for some Kenya policemen when thieves raided their unmanned post and made off with weaponry.',Reuters,News,https://www.nytimes.com/reuters/2019/04/17/sports/soccer/17reuters-kenya-police.html,157,[],[]
b'Ex-Auburn Football Coach Tuberville to Run for Ala. Senate',b'Former Auburn University football coach Tommy Tuberville is joining the Republican race to win back the Senate seat from Democrat Doug Jones in 2020.',AP,News,https://www.nytimes.com/aponline/2019/04/09/us/politics/ap-us-alabama-senate.html,132,[],[]
"b'Relocated From a Park to a Football Stadium, the Miami Open Emphasizes Luxury'","b'The moved and improved Miami Open, a top men\xe2\x80\x99s and women\xe2\x80\x99s tennis tournament, begins this week at Hard Rock Stadium, home of the Miami Dolphins.'",The New York Times,News,https://www.nytimes.com/2019/03/18/sports/tennis/miami-open-hard-rock-stadium.html,1014,['Miami (Fla)'],"['Tennis', 'Miami Open (Tennis)', 'Stadiums and Arenas']"
b'Massachusetts Bill Would Ban Tackle Football Until After Seventh Grade',"b'The measure, which is already facing headwinds, follows unsuccessful similar attempts by legislators in five other states.'",The New York Times,News,https://www.nytimes.com/2019/03/01/sports/youth-tackle-football-ban.html,1062,['Massachusetts'],"['Football', 'Chronic Traumatic Encephalopathy', 'Interscholastic Athletics', 'Youth']"
b'The Helicopter Parent Descends on College Football',"b'In the era of what some academics call \xe2\x80\x9cwe-parenting,\xe2\x80\x9d is it any wonder that parents also suit up in full football uniforms for signing day?'",The New York Times,News,https://www.nytimes.com/2019/02/06/sports/college-football-signing-day.html,1040,[],"['Football (College)', 'Colleges and Universities', 'Parenting', 'Social Media']"
"b'In Colin Kaepernick Case, N.F.L. Makes a Familiar, Safe Call'","b'As it did in 2013 in the concussion lawsuit, the league reached a settlement, hoping, probably against hope, for a troublesome issue to go away.'",The New York Times,News,https://www.nytimes.com/2019/02/16/sports/football/nfl-kaepernick-concussions-settlements.html,1528,[],"['Football', 'Concussions', 'Suits and Litigation (Civil)', 'United States National Anthem Protests (2016- )']"
b'New Jersey Unveils New Limits on High School Football Practices',b'Players will be limited to 15 minutes of full-contact practice each week under new rules that state officials called the toughest in the country.',The New York Times,News,https://www.nytimes.com/2019/02/13/sports/new-jersey-football-rules.html,775,['New Jersey'],"['Football', 'Interscholastic Athletics', 'Concussions']"
"b'For Odell Beckham Jr., a Departure as Stunning as His Catches'","b'In addition to losing a spectacular player, the Giants will take a big salary cap hit because of the Beckham trade. So where do they go from here?'",The New York Times,News,https://www.nytimes.com/2019/03/13/sports/odell-beckham-jr-trade-giants.html,985,[],"['Football', 'Trades (Sports)']"
b'White House Welcomes College Football Champions With Fast-Food Buffet',"b'A celebration of Clemson\xe2\x80\x99s championship was catered by fast-food outlets like McDonald\xe2\x80\x99s, Wendy\xe2\x80\x99s and Domino\xe2\x80\x99s, with officials blaming the government shutdown.'",The New York Times,News,https://www.nytimes.com/2019/01/15/us/politics/trump-burgers-fast-food.html,472,[],"['Fast Food Industry', 'Shutdowns (Institutional)', 'Football (College)']"
