headline,snippet,source,type,url,word_count,locations,subjects
b'Golf: Fleetwood Attack Ready to Rock Augusta National',"b""Tommy Fleetwood may already be one of golf's most recognizable players but the mop-topped Englishman is determined to be marked out as winner rather than for a great head of hair.""",Reuters,News,https://www.nytimes.com/reuters/2019/04/08/sports/golf/08reuters-golf-masters-fleetwood.html,480,[],[]
b'Golf-Fleetwood Attack Ready to Rock Augusta National',"b""Tommy Fleetwood may already be one of golf's most recognisable players but the mop-topped Englishman is determined to be marked out as winner rather than for a great head of hair.""",Reuters,News,https://www.nytimes.com/reuters/2019/04/08/sports/golf/08reuters-golf-masters.html,480,[],[]
b'Column: Masters Perfect Week to Forget Golf Squabbles',"b""The Masters can't get here soon enough.""",AP,News,https://www.nytimes.com/aponline/2019/04/02/sports/golf/ap-glf-on-the-fringe-masters.html,911,[],[]
b'Golf: Spieth Rates His Masters Chances but Not Everyone Agrees',"b'Jordan Spieth visited the Augusta National media interview room almost unnoticed for his assigned rendezvous with the press on Tuesday, like a guest invited to make up the numbers.'",Reuters,News,https://www.nytimes.com/reuters/2019/04/09/sports/golf/09reuters-golf-masters-spieth.html,461,[],[]
"b""Golf: No Women's Masters in Augusta National's Future, Says Chairman""","b""Augusta National chairman Fred Ridley on Wednesday threw cold water on the idea of one day hosting a women's Masters alongside the men's major.""",Reuters,News,https://www.nytimes.com/reuters/2019/04/10/sports/golf/10reuters-golf-masters-ridley.html,418,[],[]
b'Thinking of Buying in a Golf Community?',b'Experts offer some guidance about purchasing a home in a golf development.',International New York Times,News,https://www.nytimes.com/2019/03/09/realestate/luxury/thinking-of-buying-in-a-golf-community.html,1513,[],['Golf']
"b'Tony Finau, on Another Masters Adventure, Carries Memories of an Idol'","b'Finau kept a ball signed by Billy Casper, the 1970 champion, in his bag during the opening round. Casper had offered encouragement to Finau when he was taking up golf.'",The New York Times,News,https://www.nytimes.com/2019/04/11/sports/masters-tony-finau-billy-casper.html,854,[],"['Golf', 'Masters Golf Tournament']"
"b'At the Masters, Jason Day Again Finds Pain and Perseverance'","b'The Australian has been ridiculed for always being hobbled by some pain or ailment. This time, his back issues helped him sharpen his focus on the way to a share of the lead.'",The New York Times,News,https://www.nytimes.com/2019/04/12/sports/masters-jason-day.html,931,['Augusta (Ga)'],"['Golf', 'Masters Golf Tournament']"
"b'Golf: Win, Lose or Not Even Here, Woods Always in Masters Spotlight'",b'It has been 11 years since Tiger Woods last won a major and 14 since he claimed a Green Jacket yet like Augusta National itself some things never seem to change as the 43 year-old again took his place in the Masters spotlight on Tuesday.',Reuters,News,https://www.nytimes.com/reuters/2019/04/09/sports/golf/09reuters-golf-masters-woods.html,490,[],[]
"b""Prize Money in Women's Golf Nothing to Complain About: Davies""","b""Prize money in women's golf pales in comparison to the riches on offer for men, but Laura Davies thinks the $70 million up for grabs on the LPGA Tour this year represents success by any reasonable measure.""",Reuters,News,https://www.nytimes.com/reuters/2019/04/03/sports/golf/03reuters-golf-women-davies.html,544,[],[]
