headline,snippet,source,type,url,word_count,locations,subjects
b'How Beetles That Live Underwater Breathe Without a Scuba Tank',"b'When an insect is this small, it seems to be able to get away with an unusual technique for taking in oxygen.'",The New York Times,News,https://www.nytimes.com/2019/04/09/science/underwater-beetles-breathe-skin.html,510,['Australia'],"['Beetles', 'Respiratory System', 'Skin', 'Oxygen', 'Water', 'Research', 'your-feed-science']"
b'Can Low-Impact Sports Like Cycling Be Putting Your Bones at Risk?',b'Research has raised concerns that activities like cycling and swimming may put too little pressure on bones.',The New York Times,News,https://www.nytimes.com/2019/01/30/well/move/can-low-impact-sports-like-cycling-be-putting-your-bones-at-risk.html,871,[],"['Bones', 'Exercise', 'Cycling, Road', 'Bicycles and Bicycling', 'Skeletons', 'Running', 'Calcium', 'Swimming', 'Osteoporosis', 'Athletics and Sports']"
b'Grand Jury Indicts Chinese Woman on Charges of Lying and Trespass at Mar-a-Lago',b'A consultant from China who was arrested after entering President Trump\xe2\x80\x99s Mar-a-Lago resort was indicted on charges of making false statements to federal officials.',The New York Times,News,https://www.nytimes.com/2019/04/12/us/yujing-zhang-mar-a-lago.html,665,[],"['Espionage and Intelligence Services', 'United States Politics and Government']"
b'How Breast Size Affects How Women Exercise',"b'As women\xe2\x80\x99s breast sizes grew, their participation in physical activity declined, particularly if that exercise was vigorous.'",The New York Times,News,https://www.nytimes.com/2019/03/06/well/move/how-breast-size-affects-how-women-exercise.html,890,[],"['Exercise', 'Breasts', 'Women and Girls', 'Lingerie and Underwear', 'Obesity']"
"b'$1.3 Million Homes in Connecticut, Hawaii and Illinois'","b'A 1760 clapboard house in New Milford, a cottage on Maui and an 1878 bungalow in Wilmette.'",The New York Times,News,https://www.nytimes.com/2019/02/20/realestate/1-3-million-homes-in-connecticut-hawaii-and-illinois.html,1120,"['New Milford (Conn)', 'Maui (Hawaii)', 'Wilmette (Ill)']",['Real Estate and Housing (Residential)']
"b'Minor League in Name Only, New Las Vegas Ballpark Opens'","b""Don Logan spent years trying to get a new minor league ballpark in this gambling city, so the president of the Las Vegas Aviators understands what the Oakland A's are going through in their quest for new digs in the Bay Area.""",AP,News,https://www.nytimes.com/aponline/2019/04/09/sports/baseball/ap-bbm-new-vegas-ballpark.html,864,[],[]
b'About Last Night: T Magazine Celebrates Salone del Mobile',"b'To fete the annual design fair, Studio Ossidiana turned the grounds of the Villa Necchi Campiglio into a fantastical spring garden.'",The New York Times,News,https://www.nytimes.com/2019/04/09/t-magazine/salone-del-mobile-party.html,320,['Milan (Italy)'],['Parties (Social)']
b'Casino Company Las Vegas Sands Announces Singapore Expansion',"b'Casino company Las Vegas Sands announced Wednesday it plans to spend $3.3 billion to add an entertainment arena, new hotel tower and more convention space to its property in Singapore.'",AP,News,https://www.nytimes.com/aponline/2019/04/03/us/ap-us-las-vegas-sands-singapore.html,305,[],[]
b'\xe2\x80\x98Sharkwater Extinction\xe2\x80\x99 Review: A Plea to Stop Killing Sharks',b'A documentary reveals a cruel market in which tens of millions of sharks are caught every year to meet the demand for fin soup.',The New York Times,Review,https://www.nytimes.com/2019/02/28/movies/sharkwater-extinction-review.html,252,[],"['Sharks', 'Movies', 'Documentary Films and Programs']"
b'Malaysia to Sell 1MDB-Linked Superyacht for $126 Million',"b'Malaysia will sell a superyacht allegedly bought with stolen funds from state fund 1MDB to casino operator Genting Malaysia Bhd for $126 million, in the first major asset sale by Kuala Lumpur to recover billions lost from the fund.'",Reuters,News,https://www.nytimes.com/reuters/2019/04/03/business/03reuters-malaysia-scandal-yacht.html,348,[],[]
