headline,snippet,source,type,url,word_count,locations,subjects
"b'For Australian Men, Off-Court Drama Overshadows the Tennis'","b'Australia has not produced a male Grand Slam singles champion or a top-10 men\xe2\x80\x99s player in more than 10 years. Instead, men\xe2\x80\x99s tennis in Australia is now a soap opera.'",The New York Times,News,https://www.nytimes.com/2019/01/20/sports/australian-open-lleyton-hewitt-tomic-turmoil.html,1320,['Australia'],['Australian Open (Tennis)']
b'How Are Ties Broken in Tennis? That Depends',"b'There are four Grand Slam tournaments, and this year they each will have a different way to solve a tie.'",The New York Times,News,https://www.nytimes.com/2019/01/12/sports/tennis/how-are-ties-broken-in-tennis-that-depends.html,990,[],"['Wimbledon Tennis Tournament', 'French Open (Tennis)', 'Australian Open (Tennis)', 'United States Open (Tennis)', 'Masters Golf Tournament']"
b'Tennis: Keys Tops Stephens to Reach Semis in Charleston',b'Madison Keys overcame some uncharacteristically poor serving and elevated her game late on to edge fellow American Sloane Stephens 7-6(6) 4-6 6-2 and advance to the semi-finals of the Charleston Open on Friday. ',Reuters,News,https://www.nytimes.com/reuters/2019/04/05/sports/tennis/05reuters-tennis-charleston.html,399,[],[]
b'Tennis-Querrey Outlasts Tipsarevic to Reach Houston Semi-Finals',"b""Eighth-seeded Sam Querrey survived two tiebreaks to defeat Serb Janko Tipsarevic and advance to the semi-finals of the U.S. Men's Clay Court Championship in Houston on Friday.""",Reuters,News,https://www.nytimes.com/reuters/2019/04/12/sports/tennis/12reuters-tennis-houston.html,264,[],[]
b'Will Serena Williams and Rafael Nadal Be Ready for the Clay-Court Season?',"b'Is Nadal truly healthy? What about Serena Williams? The tennis season has moved to clay, and it is unclear how the dust might settle.'",The New York Times,News,https://www.nytimes.com/2019/04/04/sports/serena-williams-rafael-nadal.html,1211,[],['Tennis']
"b'At the Miami Open, It\xe2\x80\x99s Ashleigh Barty\xe2\x80\x99s Turn for a Title'","b'The Australian beat Karolina Pliskova for her most significant victory, showing the promise of many more. She also became the 14th different WTA champion this year in 14 events.'",The New York Times,News,https://www.nytimes.com/2019/03/30/sports/ashleigh-barty-miami-open.html,1164,[],"['Miami Open (Tennis)', 'Tennis']"
b'Down and Out of Tennis at 22. Back at 28.',"b'Burned out, struggling with depression and fed up with cyberbullying, Rebecca Marino, one of Canada\xe2\x80\x99s brightest prospects, quit tennis in 2013. A year into her comeback, she\xe2\x80\x99s climbing the rankings.'",The New York Times,News,https://www.nytimes.com/2019/01/09/sports/australian-open-rebecca-marino.html,1168,[],"['Tennis', 'Australian Open (Tennis)']"
"b'As Men\xe2\x80\x99s Team Tennis Events Rise, the Coed Hopman Cup Is Left in Limbo'","b'The future of the Hopman Cup, the only coed team tournament on the tennis calendar, is uncertain, with the new ATP Cup set to eclipse it.'",The New York Times,News,https://www.nytimes.com/2019/01/05/sports/hopman-cup-mens-team-tennis.html,1237,['Perth (Australia)'],"['Tennis', 'Hopman Cup (Tennis)']"
b'Dan Evans Says He Threw Away His Tennis Career. He\xe2\x80\x99s Trying to Get It Back.',b'Evans was ranked a career-high No. 41 when he was suspended for testing positive for cocaine. It has taken him 11 months to return to the top 100.',The New York Times,News,https://www.nytimes.com/2019/03/04/sports/tennis/dan-evans.html,957,[],['Tennis']
b'Tennis: Crisis? What Crisis? Briton Moore Completes Amazing Comeback',"b""Britain's Tara Moore stared the dreaded 'double bagel' in the face as she trailed 0-6 0-5 30-40 to French third seed Jessika Ponchet in this week's ITF World Tour event in Sunderland and could have been excused for wanting the ground to open up.""",Reuters,News,https://www.nytimes.com/reuters/2019/04/10/sports/tennis/10reuters-tennis-moore.html,254,[],[]
b'Will Naomi Osaka Pick Japanese Citizenship or American? Her Deadline to Choose Is Looming',b'Under Japanese law the tennis superstar must soon pick between her American and Japanese nationalities. Her choice comes as Japan is under pressure to loosen its longstanding insularity.',The New York Times,News,https://www.nytimes.com/2019/04/06/world/asia/naomi-osaka-citizenship.html,1111,['Japan'],"['Citizenship and Naturalization', 'Foreign Workers']"
b'Second Slam Title Signals Naomi Osaka Has the Power to Rule Tennis',"b'Osaka, 21, has now won two straight Grand Slam titles and moved to the top of the world rankings.'",The New York Times,News,https://www.nytimes.com/2019/01/26/sports/tennis/naomi-osaka-australian-open.html,1080,[],"['Tennis', 'Australian Open (Tennis)']"
"b'At 40, Ivo Karlovic Remains a Towering and Punishing Force'",b'Karlovic is in the fourth round at the BNP Paribas Open this year and is now the oldest man to win a singles match at a Masters 1000 event.',The New York Times,News,https://www.nytimes.com/2019/03/12/sports/ivo-karlovic.html,1148,[],"['Tennis', 'BNP Paribas Open (Tennis)']"
b'Stevie Johnson Still Carries His Grief Onto the Tennis Court',"b'Johnson\xe2\x80\x99s father, who taught him tennis, died two years ago, and it still hangs over Johnson, who recently ended a five-month losing streak.'",The New York Times,News,https://www.nytimes.com/2019/02/23/sports/stevie-johnson-delray-beach-open.html,1145,[],['Tennis']
b'Tennis-Wozniacki and Keys to Meet for Charleston Title',"b""Former world number one Caroline Wozniacki maintained her dominance over Croatia's Petra Martic on Saturday to move into the final of the Charleston Open where she will play Madison Keys.""",Reuters,News,https://www.nytimes.com/reuters/2019/04/06/sports/tennis/06reuters-tennis-charleston.html,435,[],[]
"b'Winning Tennis Titles Again, Bob Bryan Is Inspiring Athletes With Hip Injuries'","b'Last spring, Bryan thought his career was over. But after an operation on his right hip, he has reunited with his twin brother on the tennis court and resumed winning doubles championships.'",The New York Times,News,https://www.nytimes.com/2019/04/02/sports/bob-bryan-hip-surgery.html,1355,[],"['Miami Open (Tennis)', 'Tennis']"
b'Andy Murray Gave His All. Which Is Why This Ending Hurts.',"b'Murray earned his place in tennis\xe2\x80\x99s Big Four with his week-to-week consistency, his resilience and his all-surface brilliance. But an injury is about to drive him out.'",The New York Times,News,https://www.nytimes.com/2019/01/11/sports/andy-murray-retirement.html,1305,['Australia'],['Tennis']
b'Roger Federer Outruns Time (and John Isner) Once Again to Win Miami Open',"b'The win gave Federer his 101st singles title, and it left Isner limping with what he fears may be a stress fracture in his foot.'",The New York Times,News,https://www.nytimes.com/2019/03/31/sports/roger-federer-miami-open.html,1070,[],"['Miami Open (Tennis)', 'Tennis']"
"b'A Wiser Naomi Osaka Adjusts to Stardom, Even as She Briefly Stumbles'","b'Her first two tournaments since being ranked No. 1 ended in losses, but the young star is getting more comfortable in the spotlight.'",The New York Times,News,https://www.nytimes.com/2019/03/13/sports/naomi-osaka-indian-wells-tennis.html,1251,[],"['Tennis', 'BNP Paribas Open (Tennis)']"
b'Tennis: Garin Overpowers Querrey to Make Houston Final',"b""Chilean Christian Garin powered past eighth seed Sam Querrey to make his second ATP Tour final at the U.S. Men's Clay Court Championship in Houston on Saturday.""",Reuters,News,https://www.nytimes.com/reuters/2019/04/13/sports/tennis/13reuters-tennis-houston.html,284,[],[]
b'Tennis: Granollers Upsets Fifth Seed Fritz in Houston',"b""Former champion Marcel Granollers used the drop shot to good effect as he surprised fifth-seeded American Taylor Fritz in three sets at the U.S. Men's Clay Court Championship in Houston on Monday.""",Reuters,News,https://www.nytimes.com/reuters/2019/04/09/sports/tennis/09reuters-tennis-houston.html,297,[],[]
b'Tennis-Granollers Upsets Fifth Seed Fritz in Houston',"b""Former champion Marcel Granollers used the drop shot to good effect as he surprised fifth-seeded American Taylor Fritz in three sets at the U.S. Men's Clay Court Championship in Houston on Monday.""",Reuters,News,https://www.nytimes.com/reuters/2019/04/09/sports/tennis/08reuters-tennis-houston.html,297,[],[]
"b'A Male Tennis Pro, a Female Coach and Shrugs for Anyone Who Thinks It Won\xe2\x80\x99t Work'","b'Am\xc3\xa9lie Mauresmo was ready to become France\xe2\x80\x99s Davis Cup captain when Lucas Pouille, a young French player, came to her with an offer: Coach him instead.'",The New York Times,News,https://www.nytimes.com/2019/01/16/sports/tennis/australian-open-mauresmo-pouille.html,1156,['Australia'],"['Tennis', 'Australian Open (Tennis)', 'Coaches and Managers']"
"b'Rafael Nadal, Playing a \xe2\x80\x98Different Dimension of Tennis,\xe2\x80\x99 Returns to Australian Open Final'","b'In a match billed as a battle of generations, Nadal overwhelmed 20-year-old Stefanos Tsitsipas, who was playing in his first Grand Slam semifinal.'",The New York Times,News,https://www.nytimes.com/2019/01/24/sports/tennis/australian-open-nadal-tsitsipas.html,953,[],"['Tennis', 'Australian Open (Tennis)']"
b'Djokovic and Nadal Are Set for Another Epic Duel Down Under',"b'The top-ranked player on the men\xe2\x80\x99s tennis tour and a six-time winner in Melbourne, Djokovic now faces the player he thinks of as his greatest rival.'",The New York Times,News,https://www.nytimes.com/2019/01/25/sports/tennis/novak-djokovic-australian-open-final.html,1098,[],"['Australian Open (Tennis)', 'Tennis']"
b'Novak Djokovic Passes His Idol and Sets a New Target: Roger Federer',b'Djokovic broke a tie with Pete Sampras for third-most men\xe2\x80\x99s Grand Slam titles by winning his 15th \xe2\x80\x94 the Australian Open \xe2\x80\x94 on Sunday. Federer\xe2\x80\x99s record of 20 is within sight.',The New York Times,News,https://www.nytimes.com/2019/01/27/sports/tennis/novak-djokovic-roger-federer.html,822,[],['Australian Open (Tennis)']
"b'Tennis: Azarenka Upsets Kerber, Faces Muguruza in Monterrey Final'","b""Victoria Azarenka used her superior serving and punishing groundstrokes to upset top seed Angelique Kerber 6-4 4-6 6-1 and advance to Sunday's final of the Monterrey Open against Garbine Muguruza.""",Reuters,News,https://www.nytimes.com/reuters/2019/04/06/sports/tennis/06reuters-tennis-monterrey.html,215,[],[]
b'Serena Williams\xe2\x80\x99s Absence Gave Her Foes the Chance to Improve',b'Karolina Pliskova\xe2\x80\x99s advance to the quarterfinals of the Australian Open reflected how she had grown in confidence during Williams\xe2\x80\x99s absence.',The New York Times,News,https://www.nytimes.com/2019/01/23/sports/serena-williams-karolina-pliskova-australian-open.html,906,['Melbourne (Australia)'],"['Tennis', 'Australian Open (Tennis)']"
