headline,snippet,source,type,url,word_count,locations,subjects
b'Basketball Refs Using Clock Technology to Get It Right',"b""The technology used for game clocks has become part of a basketball referee's on-court DNA, something few could see coming considering the system was initially scoffed at by some officials.""",AP,News,https://www.nytimes.com/aponline/2019/04/03/business/ap-bkc-final-four-precision-time.html,1029,[],[]
b'Marc Stein and Ralph Lawler to Receive Award From Basketball Hall of Fame',"b'Stein, a New York Times reporter, and Lawler, a longtime broadcaster, are the 2019 Curt Gowdy Media Award recipients.'",The New York Times,News,https://www.nytimes.com/2019/02/16/sports/marc-stein-ralph-lawler-hall-of-fame.html,277,[],"['Basketball', 'Awards, Decorations and Honors']"
"b'An Artist on Finding Balance, and His Giant Basketball Sculpture'","b'Ahead of two major shows, the painter Jonas Wood reflects on his early career \xe2\x80\x94 and the most unusual object in his studio.'",The New York Times,News,https://www.nytimes.com/2019/03/22/t-magazine/jonas-wood.html,1428,[],"['Art', 'Sculpture', 'Work-Life Balance']"
b'U.N.C. Women\xe2\x80\x99s Basketball Coach Sylvia Hatchell Faces a Reckoning',b'Players and their families have accused the longtime coach of racially insensitive remarks.',The New York Times,News,https://www.nytimes.com/2019/04/06/sports/sylvia-hatchell-unc-racially-insensitive-comments.html,1377,[],"['Coaches and Managers', 'NCAA Basketball Championships (Women)', 'Basketball (College)']"
b'Magic Johnson Always Set His Sights Beyond Basketball',b'Magic Johnson\xe2\x80\x99s abrupt departure from the Lakers is the latest example of the former superstar\xe2\x80\x99s interest in non-basketball endeavors.',The New York Times,News,https://www.nytimes.com/2019/04/11/sports/magic-johnson-lakers.html,1683,[],"['Basketball', 'Appointments and Executive Changes']"
"b'Kirstjen Nielsen, Israel, N.C.A.A. Basketball: Your Monday Briefing'",b'Here\xe2\x80\x99s what you need to know.',The New York Times,briefing,https://www.nytimes.com/2019/04/08/briefing/kirstjen-nielsen-israel-ncaa-basketball.html,1364,[],[]
b'North Carolina Women\xe2\x80\x99s Basketball Coach Faces Complaints of Racially Insensitive Comments',"b'Sylvia Hatchell was placed on leave after players\xe2\x80\x99 families complained to university officials, according to two people with direct knowledge of the accusations.'",The New York Times,News,https://www.nytimes.com/2019/04/04/sports/north-carolina-sylvia-hatchell.html,930,['North Carolina'],"['NCAA Basketball Championships (Women)', 'Coaches and Managers', 'Basketball']"
"b'Homeland Security, Israel, N.C.A.A. Basketball: Your Tuesday Briefing'",b'Here\xe2\x80\x99s what you need to know.',The New York Times,briefing,https://www.nytimes.com/2019/04/09/briefing/homeland-security-israel-ncaa-basketball.html,1492,[],[]
b'Defendants Receive Lenient Sentences in College Basketball Corruption Case',"b'The judge questioned the logic of the prosecutors in a college basketball sneaker scandal, then sentenced the convicted executives to just six and nine months.'",The New York Times,News,https://www.nytimes.com/2019/03/05/sports/college-basketball-scandal.html,1115,[],"['Basketball (College)', 'Colleges and Universities']"
"b'A Star\xe2\x80\x99s Shoe Breaks, Putting College Basketball Under a Microscope'","b'When Duke\xe2\x80\x99s Zion Williamson injured a knee after one of his Nike sneakers split open, it raised questions about amateurism and shoe companies\xe2\x80\x99 influence in the sport.'",The New York Times,News,https://www.nytimes.com/2019/02/21/sports/zion-nike-shoe-ncaa.html,1335,[],"['Basketball (College)', 'Sneakers', 'Sports Injuries']"
