"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Grigor Dimitrov Sensational Shots in Nadal match at Monte-Carlo Rolex Masters.

https://t.co/HGYxJYw2WP

#Tennis","FALSE","0",NA,"2019-04-19 03:14:00","FALSE",NA,"1119076653303336961",NA,"<a href=\https://about.twitter.com/products/tweetdeck\ rel=\nofollow\>TweetDeck</a>","TennisExplorer","0","FALSE","FALSE",NA,NA
"#FollowBack #AndyMurray #Football #Tennis #Sport #Sports #Keyrings Pls Follow &amp; RT!!!!!!","FALSE","0",NA,"2019-04-19 03:13:16","FALSE",NA,"1119076470071136261",NA,"<a href=\http://www.DynamicTweets.com\ rel=\nofollow\>Dynamic Tweets</a>","SportKeyrings","0","FALSE","FALSE",NA,NA
"EASTER 2019 | Hope you have a relaxing Easter break, wherever you're playing your tennis.

#Easter #2019 #Holiday… https://t.co/CetvgpCZGf","FALSE","0",NA,"2019-04-19 03:07:19","TRUE",NA,"1119074970812866563",NA,"<a href=\http://instagram.com\ rel=\nofollow\>Instagram</a>","tennis_vic","0","FALSE","FALSE",NA,NA
".@cthomps6 has her eye on you!
Come watch @DU_WTennis wrap up the regular season 1p at home against… https://t.co/cYsr6EhuXS","FALSE","0",NA,"2019-04-19 03:04:42","TRUE",NA,"1119074315876519936",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","inthebluecrew","0","FALSE","FALSE",NA,NA
"Download the Power Sportz App and stay tuned for more sports facts, news, and debates. No Sign-up Required - 100% F… https://t.co/8AJIoUHcsO","FALSE","0",NA,"2019-04-19 03:03:16","TRUE",NA,"1119073953043992576",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","powersportz_tv","0","FALSE","FALSE",NA,NA
"It’s like second nature to me and I only get to play once in awhile but when I do I feel amazing even if it’s again… https://t.co/o8xnj0FxMT","FALSE","1",NA,"2019-04-19 03:00:00","TRUE",NA,"1119073131040165888",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","britni_bg","0","FALSE","FALSE",NA,NA
"-@RafaelNadal, @DjokerNole Remain On Collision Course in Monte-Carlo Tennis, @ThiemDomi Loss Clears The Way… https://t.co/jNn5ZQpteY","FALSE","1",NA,"2019-04-19 02:23:43","TRUE",NA,"1119063999222390784",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","10sBalls_com","0","FALSE","FALSE",NA,NA
"#tennis #golf Breathable Protection Supporting Elastic Knee Belt https://t.co/olgetmGOq0","FALSE","0",NA,"2019-04-19 02:22:36","FALSE",NA,"1119063717621243904",NA,"<a href=\https://gymandoutdoors.com/\ rel=\nofollow\>GymAndOutdoors</a>","GymAndOutdoors","0","FALSE","FALSE",NA,NA
"#FollowBack #AndyMurray #Football #Tennis #Sport #Sports #Keyrings Pls Follow &amp; RT!!!!!","FALSE","0",NA,"2019-04-19 02:13:25","FALSE",NA,"1119061406362558464",NA,"<a href=\http://www.DynamicTweets.com\ rel=\nofollow\>Dynamic Tweets</a>","SportKeyrings","0","FALSE","FALSE",NA,NA
"4th grade Ss working on forehand swing. Hit it and go get it! 🎾 🏃‍♀️ 🏃 @VickeryES @LISDWellness #PhysEd #lisdpe… https://t.co/q5atrUn4V0","FALSE","1",NA,"2019-04-19 02:09:55","TRUE",NA,"1119060525814558720",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","VoyagerPE","0","FALSE","FALSE",NA,NA
"Selling picks SOON on Fiverr. $5 per pick. Follow me.

#nba #nhl #bookiekiller #bitcoin #forex #cryptocurrency… https://t.co/hQ6Dfhs7rx","FALSE","0",NA,"2019-04-19 02:04:30","TRUE",NA,"1119059165572415489",NA,"<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","PicksMind","0","FALSE","FALSE",NA,NA
"Kinder looking fierce while swinging that tennis racquet! 🎾 🔥 What does success look like? Make contact! Very impre… https://t.co/0d9S3yzm3V","FALSE","0",NA,"2019-04-19 02:00:07","TRUE",NA,"1119058062512394241",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","VoyagerPE","0","FALSE","FALSE",NA,NA
"Interviewer: Describe yourself in one word. 
Me: Hired.
Interviewer: (Under breath) Holy Shit! Can he do that?
-

-… https://t.co/1KLfa4UVyK","FALSE","0",NA,"2019-04-19 02:00:06","TRUE",NA,"1119058055361126400",NA,"<a href=\https://www.later.com\ rel=\nofollow\>LaterMedia</a>","_adzimbo","0","FALSE","FALSE",NA,NA
"At the @SarasotaOpen, #Rubin retires against #Lorenzi, #Laaksonen loses to #Giron, #Polansky defeats #Brooksby,… https://t.co/BJPDZJKMyt","FALSE","0",NA,"2019-04-19 01:56:13","TRUE",NA,"1119057081284399104",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","AuroraCalliope","0","FALSE","FALSE",NA,NA
"cashing tickets #tennis #atp #itf #wta #live #futures #letsgo","FALSE","0",NA,"2019-04-19 01:52:34","FALSE",NA,"1119056161431535622",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","trad3rlyfe247","0","FALSE","FALSE",NA,NA
"Blaz Rola
Pedja Krstin

Options other than Zdenek Kolar for the bbb ref, lol. You could throw Hugo Dellien into the… https://t.co/lvjhR7x8bk","FALSE","0",NA,"2019-04-19 01:51:53","TRUE",NA,"1119055989544644608",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","tjeezyyy","0","FALSE","FALSE",NA,NA
"Happy Birthday To The #Tennis #Beauty #Queen,Most #Gorgeous N #Beautiful Maria Sharapova,We Wish You Happy &amp; Successful Lyf Ahead 😄👍👌🎉","FALSE","0",NA,"2019-04-19 01:45:25","FALSE",NA,"1119054363652173824",NA,"<a href=\http://www.facebook.com/twitter\ rel=\nofollow\>Facebook</a>","SungoldEnt","0","FALSE","FALSE",NA,NA
"Why would Molik pick Stosur ahead of Dasha? Could hurt us #fedcup #AUSBLR #Tennis","FALSE","1",NA,"2019-04-19 01:40:26","FALSE",NA,"1119053108217139200",NA,"<a href=\http://mvilla.it/fenix\ rel=\nofollow\>Fenix 2</a>","anthonyqld","0","FALSE","FALSE",NA,NA
"Selling picks SOON on Fiverr. $5 per pick. Follow me.

#lasvegas #vegas #macau #nfl #mlb #nba #nhl #bookiekiller… https://t.co/xuh1djZGHO","FALSE","0",NA,"2019-04-19 01:36:29","TRUE",NA,"1119052115077472256",NA,"<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","PicksMind","0","FALSE","FALSE",NA,NA
"Great day to #recordreviewimprove with Eagles Nest Tennis Director Justin Behm who had a #tennismount available to… https://t.co/VzZTbJQXtd","FALSE","0",NA,"2019-04-19 01:28:35","TRUE",NA,"1119050126398492673",NA,"<a href=\http://instagram.com\ rel=\nofollow\>Instagram</a>","md_sporting","0","FALSE","FALSE",NA,NA
"The public courts besides the Tennis Academy are now open. Happy #tennis season everyone! https://t.co/gHOIRdQPny","FALSE","2",NA,"2019-04-19 01:17:52","FALSE",NA,"1119047429637038080",NA,"<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","karineincalgary","1","FALSE","FALSE",NA,NA
"#FollowBack #AndyMurray #Football #Tennis #Sport #Sports #Keyrings Pls Follow &amp; RT!!!!","FALSE","0",NA,"2019-04-19 01:13:46","FALSE",NA,"1119046395921674240",NA,"<a href=\http://www.DynamicTweets.com\ rel=\nofollow\>Dynamic Tweets</a>","SportKeyrings","0","FALSE","FALSE",NA,NA
