"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Grigor Dimitrov Sensational Shots in Nadal match at Monte-Carlo Rolex Masters.

https://t.co/HGYxJYw2WP

#Tennis",FALSE,0,NA,2019-04-19 03:14:00,FALSE,NA,"1119076653303336961",NA,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","TennisExplorer",0,FALSE,FALSE,NA,NA
"#FollowBack #AndyMurray #Football #Tennis #Sport #Sports #Keyrings Pls Follow &amp; RT!!!!!!",FALSE,0,NA,2019-04-19 03:13:16,FALSE,NA,"1119076470071136261",NA,"<a href=\"http://www.DynamicTweets.com\" rel=\"nofollow\">Dynamic Tweets</a>","SportKeyrings",0,FALSE,FALSE,NA,NA
"RT @Londonparis4492: One of our favorite #tbt pictures together. Double trouble all the way to the top.💪🏽🎾🏆🏆
•
•
•
✔️L&amp;P
#netgeneration #ne…",FALSE,0,NA,2019-04-19 03:12:26,FALSE,NA,"1119076259156221953",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","LisaCash",1,TRUE,FALSE,NA,NA
"EASTER 2019 | Hope you have a relaxing Easter break, wherever you're playing your tennis.

#Easter #2019 #Holiday… https://t.co/CetvgpCZGf",FALSE,0,NA,2019-04-19 03:07:19,TRUE,NA,"1119074970812866563",NA,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","tennis_vic",0,FALSE,FALSE,NA,NA
".@cthomps6 has her eye on you!
Come watch @DU_WTennis wrap up the regular season 1p at home against… https://t.co/cYsr6EhuXS",FALSE,0,NA,2019-04-19 03:04:42,TRUE,NA,"1119074315876519936",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","inthebluecrew",0,FALSE,FALSE,NA,NA
"Download the Power Sportz App and stay tuned for more sports facts, news, and debates. No Sign-up Required - 100% F… https://t.co/8AJIoUHcsO",FALSE,0,NA,2019-04-19 03:03:16,TRUE,NA,"1119073953043992576",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","powersportz_tv",0,FALSE,FALSE,NA,NA
"It’s like second nature to me and I only get to play once in awhile but when I do I feel amazing even if it’s again… https://t.co/o8xnj0FxMT",FALSE,1,NA,2019-04-19 03:00:00,TRUE,NA,"1119073131040165888",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","britni_bg",0,FALSE,FALSE,NA,NA
"RT @EllaLing23: Going for number...12 🏆 😳🤨🙏🏻 @RafaelNadal @ROLEXMCMASTERS #kingofclay #vamosrafa #tennis #photography @babolat @Nike @Richa…",FALSE,0,NA,2019-04-19 02:55:02,FALSE,NA,"1119071882680999936",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Nina201710",27,TRUE,FALSE,NA,NA
"RT @sportsuncleg: Yonex VCore Feel Tennis Racket (250g) - https://t.co/JTA6jjOtGg

Becoming in the \"New Shape of Spin\" the Yonex VCore Feel…",FALSE,0,NA,2019-04-19 02:51:33,FALSE,NA,"1119071004150595584",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","prateek10812345",7,TRUE,FALSE,NA,NA
"RT @ACEingAutism: Due to the generous grant from @LA84Foundation our Inglewood Program is starting this weekend! Join us in wishing Malcolm…",FALSE,0,NA,2019-04-19 02:49:36,FALSE,NA,"1119070514872344577",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","TweetJessica_B",1,TRUE,FALSE,NA,NA
"RT @DAndalora_Bella: #Victorian Art Deco style gift Minimalist Stacking Old Mine Diamond #Tennis #Bangle Bracelet 18k Gold #handcrafted #ha…",FALSE,0,NA,2019-04-19 02:48:07,FALSE,NA,"1119070138580590592",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","DAndalora_Bella",1,TRUE,FALSE,NA,NA
"RT @EllaLing23: Going for number...12 🏆 😳🤨🙏🏻 @RafaelNadal @ROLEXMCMASTERS #kingofclay #vamosrafa #tennis #photography @babolat @Nike @Richa…",FALSE,0,NA,2019-04-19 02:42:34,FALSE,NA,"1119068745215778816",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","LoveRafaAlways",27,TRUE,FALSE,NA,NA
"RT @EllaLing23: Going for number...12 🏆 😳🤨🙏🏻 @RafaelNadal @ROLEXMCMASTERS #kingofclay #vamosrafa #tennis #photography @babolat @Nike @Richa…",FALSE,0,NA,2019-04-19 02:41:13,FALSE,NA,"1119068403577380865",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","SaifUnar_",27,TRUE,FALSE,NA,NA
"-@RafaelNadal, @DjokerNole Remain On Collision Course in Monte-Carlo Tennis, @ThiemDomi Loss Clears The Way… https://t.co/jNn5ZQpteY",FALSE,1,NA,2019-04-19 02:23:43,TRUE,NA,"1119063999222390784",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","10sBalls_com",0,FALSE,FALSE,NA,NA
"#tennis #golf Breathable Protection Supporting Elastic Knee Belt https://t.co/olgetmGOq0",FALSE,0,NA,2019-04-19 02:22:36,FALSE,NA,"1119063717621243904",NA,"<a href=\"https://gymandoutdoors.com/\" rel=\"nofollow\">GymAndOutdoors</a>","GymAndOutdoors",0,FALSE,FALSE,NA,NA
"RT @karineincalgary: The public courts besides the Tennis Academy are now open. Happy #tennis season everyone! https://t.co/gHOIRdQPny",FALSE,0,NA,2019-04-19 02:17:52,FALSE,NA,"1119062529383133189",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","AnnaIwasaki1",1,TRUE,FALSE,NA,NA
"#FollowBack #AndyMurray #Football #Tennis #Sport #Sports #Keyrings Pls Follow &amp; RT!!!!!",FALSE,0,NA,2019-04-19 02:13:25,FALSE,NA,"1119061406362558464",NA,"<a href=\"http://www.DynamicTweets.com\" rel=\"nofollow\">Dynamic Tweets</a>","SportKeyrings",0,FALSE,FALSE,NA,NA
"4th grade Ss working on forehand swing. Hit it and go get it! 🎾 🏃‍♀️ 🏃 @VickeryES @LISDWellness #PhysEd #lisdpe… https://t.co/q5atrUn4V0",FALSE,1,NA,2019-04-19 02:09:55,TRUE,NA,"1119060525814558720",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","VoyagerPE",0,FALSE,FALSE,NA,NA
"RT @TrishArfuso: Tennis Wine Glasses, Tennis Racket Wine Glass, Painted Wine Gl by BringtheJoyCreations https://t.co/Cxqn2ybZzw via @Etsy #…",FALSE,0,NA,2019-04-19 02:05:59,FALSE,NA,"1119059535795302400",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","ClarasJewelry",67,TRUE,FALSE,NA,NA
"Selling picks SOON on Fiverr. $5 per pick. Follow me.

#nba #nhl #bookiekiller #bitcoin #forex #cryptocurrency… https://t.co/hQ6Dfhs7rx",FALSE,0,NA,2019-04-19 02:04:30,TRUE,NA,"1119059165572415489",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","PicksMind",0,FALSE,FALSE,NA,NA
"Kinder looking fierce while swinging that tennis racquet! 🎾 🔥 What does success look like? Make contact! Very impre… https://t.co/0d9S3yzm3V",FALSE,0,NA,2019-04-19 02:00:07,TRUE,NA,"1119058062512394241",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","VoyagerPE",0,FALSE,FALSE,NA,NA
