headline,snippet,source,type,url,word_count,locations,subjects
b'Alexis Lafreni\xc3\xa8re Would Rather You Didn\xe2\x80\x99t Compare Him to Sidney Crosby',"b'Lafreni\xc3\xa8re, just 17, is already drawing comparisons to another star player for Rimouski Oceanic in Quebec.'",The New York Times,News,https://www.nytimes.com/2019/03/20/sports/alexis-lafreniere-quebec.html,1064,['Quebec Province (Canada)'],"['Hockey, Ice']"
"b'Ted Lindsay, Hall of Fame Scorer Who Powered Red Wings, Dies at 93'","b'Lindsay, Gordie Howe and Sid Abel were known as hockey\xe2\x80\x99s Production Line as they led Detroit to four Stanley Cup titles in the 1950s.'",The New York Times,Obituary (Obit),https://www.nytimes.com/2019/03/04/obituaries/ted-lindsay-dead.html,943,[],"['Hockey, Ice', 'Deaths (Obituaries)']"
"b'Move Over, Gophers: Balance of Power Shifts in Minnesota Hockey'","b'Minnesota used to be the premier program in the state, but St. Cloud, Minnesota Duluth, Bemidji State and Minnesota State have risen in prominence recently.'",The New York Times,News,https://www.nytimes.com/2019/03/13/sports/hockey/minnesota-gophers-st-cloud-state.html,1133,['Minnesota'],"['Colleges and Universities', 'Hockey, Ice']"
b'Wisconsin\xe2\x80\x99s Annie Pankowski Tries to Leave College Hockey on Top',"b'On Friday, she will play in the Frozen Four for the fourth time. She has never won a national championship.'",The New York Times,News,https://www.nytimes.com/2019/03/21/sports/annie-pankowski-wisconsin-frozen-four.html,819,[],"['NCAA Ice Hockey Championships', 'Olympic Games (2018)', 'Hockey, Ice']"
"b'Sorry, Canada: Parity Reshapes the World Junior Championship'","b'Canada used to own the under-20 ice hockey world championships. But in recent years, Finland and the U.S. have won the event more often than the Canadians.'",The New York Times,News,https://www.nytimes.com/2019/01/07/sports/world-juniors-finland-usa-canada.html,901,"['Canada', 'Finland']","['Hockey, Ice']"
"b'The Islanders Return to Nassau Coliseum, and to Winning in the Playoffs'",b'The Isles beat the Penguins in overtime in Game 1 of their first-round N.H.L. series as thunderous cheers again filled the old-school arena.',The New York Times,News,https://www.nytimes.com/2019/04/11/sports/the-islanders-return-to-nassau-coliseum-and-to-winning-in-the-playoffs.html,855,[],"['Hockey, Ice']"
b'One Canceled Flight Upends the N.W.H.L. Playoffs',b'The Metropolitan Riveters missed their plane to last weekend\xe2\x80\x99s semifinal. Now some players will miss the makeup game because of the tough financial landscape in pro women\xe2\x80\x99s hockey.',The New York Times,News,https://www.nytimes.com/2019/03/14/sports/riveters-nwhl.html,890,[],"['Hockey, Ice']"
"b'For the First Time, an N.H.L. Game Is Broadcast in Plains Cree'",b'Sunday night\xe2\x80\x99s game between Montreal and Carolina had commentators who used an Algonquian language spoken by many of Canada\xe2\x80\x99s Indigenous people.',The New York Times,News,https://www.nytimes.com/2019/03/25/sports/nhl-cree-broadcast.html,711,['Canada'],"['Hockey, Ice']"
"b'In Canada, a Hockey Revival'",b'The Flying Fathers were like the Harlem Globetrotters on skates. Now a group of priests are trying to bring them back.',The New York Times,News,https://www.nytimes.com/2019/02/18/sports/flying-fathers-hockey.html,1262,['Canada'],"['Priests', 'Hockey, Ice']"
"b'C.W.H.L. Folds, Leaving North America With One Women\xe2\x80\x99s Hockey League'","b'The Canadian league, which has been in operation since 2007, had some of the sport\xe2\x80\x99s biggest stars. Many may be absorbed into the rival N.W.H.L.'",The New York Times,News,https://www.nytimes.com/2019/03/31/sports/cwhl-womens-hockey.html,809,[],"['Hockey, Ice']"
