headline,snippet,source,type,url,word_count,locations,subjects
"b'Trump Overrides Advisers, Backs Funding for Special Olympics After Uproar'",b'U.S. President Donald Trump overrode his budget team and backed funding for the Special Olympics on Thursday after his proposed cuts to the athletic program drew heavy fire from both Republicans and Democrats.',Reuters,News,https://www.nytimes.com/reuters/2019/03/28/us/28reuters-usa-special-olympics.html,228,[],[]
b'Joe Harris: Walking Down Your Street and Pushing the Nets Up the Standings',"b'An unsung guard who could be mistaken for a barista is the epitome of an unsung, surging team that player by player has made Brooklyn its home on and off the court.'",The New York Times,News,https://www.nytimes.com/2019/01/28/sports/basketball/joe-harris-nets-brooklyn.html,1142,"['Brooklyn (NYC)', 'Sunset Park (Brooklyn, NY)']",['Basketball']
b'Gracie Gold\xe2\x80\x99s Battle for Olympic Glory Ended in a Fight to Save Herself',"b'Gold appeared to be a gold medal favorite in figure skating for the 2018 Winter Games. Then her mental health unraveled, and a cry for help became her boldest move.'",The New York Times,News,https://www.nytimes.com/2019/01/25/sports/gracie-gold-figure-skating-.html,2504,[],"['Olympic Games (2014)', 'Figure Skating', 'Mental Health and Disorders', 'Depression (Mental)', 'Eating Disorders']"
b'A Swimmer Saved by What She Lost',"b'Tormented by pain, Morgan Stickney made the agonizing decision to have her lower leg removed. The groundbreaking procedure may change the course of her life, and the future of amputations.'",The New York Times,News,https://www.nytimes.com/2019/03/03/sports/morgan-stickney-swimming-amputee.html,1681,[],"['Swimming', 'Amputation', 'Paralympic Games', 'Surgery and Surgeons', 'Pain', 'Pain-Relieving Drugs', 'Opioids and Opiates', 'Drug Abuse and Traffic']"
b'Will the Rose Bowl Stand in the Way of a Bigger College Football Playoff?',b'The commissioners in college football want to talk about expansion. This is how it always starts. Will it be different this time?',The New York Times,News,https://www.nytimes.com/2019/01/04/sports/college-football-playoff-expansion.html,1067,[],"['Football (College)', 'Rose Bowl (Football Game)', 'College Football Playoff National Championship']"
b'No Verdict on Commander in 1989 Hillsborough Soccer Tragedy',b'A British jury failed to reach a decision Wednesday on whether the man in control of police operations at the 1989 Hillsborough Stadium tragedy that left 96 people dead is guilty of gross negligence manslaughter.',AP,News,https://www.nytimes.com/aponline/2019/04/03/world/europe/ap-eu-britain-hillsborough.html,270,[],[]
"b'Corrections: February 10, 2019'","b'Corrections appearing in print on Sunday, February 10, 2019.'",The New York Times,Correction,https://www.nytimes.com/2019/02/09/pageoneplus/corrections-february-10-2019.html,464,[],[]
b'Jaguar Land Rover Wins Case Against Jiangling Motors in China',"b'Luxury carmaker Jaguar Land Rover, part of Tata Motors Ltd, said it won a case in China against local rival Jiangling Motors Corp for making cars that copy features of Range Rover Evoque.'",Reuters,News,https://www.nytimes.com/reuters/2019/03/22/business/22reuters-jaguar-land-rover-lawsuit-jiangling-motors.html,215,[],[]
b'What We Learned About College Football in the Past Season',"b'Alabama can, in fact, get pummeled, Urban Meyer is not beyond judgment, and other valuable nuggets that will make the game different in the fall.'",The New York Times,News,https://www.nytimes.com/2019/01/11/sports/2018-college-football-season.html,1102,[],"['Football (College)', 'Sugar Bowl', 'Fiesta Bowl']"
b'Atlanta Stokes a Civil Rights Conversation for Some Super Bowl Players',"b'With issues of race percolating in the N.F.L., several players reflect on Martin Luther King Jr. and his protest movement.'",The New York Times,News,https://www.nytimes.com/2019/01/30/sports/atlanta-civil-rights-super-bowl.html,1387,['Atlanta (Ga)'],"['Blacks', 'United States National Anthem Protests (2016- )', 'Super Bowl', 'Civil Rights Movement (1954-68)', 'Civil Rights and Liberties']"
